customer_id,timestamp,revenue,order_id,profit
1,1997-01-01,11.77,oid_10000,5.1788
2,1997-01-12,12.0,oid_10001,4.08
2,1997-01-12,77.0,oid_10002,23.87
3,1997-01-02,20.76,oid_10003,5.3976
3,1997-03-30,20.76,oid_10004,3.7368
3,1997-04-02,19.54,oid_10005,4.494199999999999
3,1997-11-15,57.45,oid_10006,17.235
3,1997-11-25,20.96,oid_10007,4.8208
3,1998-05-28,16.99,oid_10008,7.645499999999999
4,1997-01-01,29.33,oid_10009,12.0253
4,1997-01-18,29.73,oid_100010,7.4325
4,1997-08-02,14.96,oid_100011,6.432800000000001
4,1997-12-12,26.48,oid_100012,11.386400000000002
5,1997-01-01,29.33,oid_100013,7.919099999999999
5,1997-01-14,13.97,oid_100014,1.6764
5,1997-02-04,38.9,oid_100015,13.615
5,1997-04-11,45.55,oid_100016,18.22
5,1997-05-31,38.71,oid_100017,12.7743
5,1997-06-16,26.14,oid_100018,7.842
5,1997-07-22,28.14,oid_100019,4.221
5,1997-09-15,40.47,oid_100020,15.7833
5,1997-12-08,46.46,oid_100021,13.4734
5,1997-12-12,40.47,oid_100022,11.736299999999998
5,1998-01-03,37.47,oid_100023,8.992799999999999
6,1997-01-01,20.99,oid_100024,5.4574
7,1997-01-01,28.74,oid_100025,15.2322
7,1997-10-11,97.43,oid_100026,54.5608
7,1998-03-22,138.5,oid_100027,9.695
8,1997-01-01,9.77,oid_100028,3.2240999999999995
8,1997-02-13,13.97,oid_100029,1.2573
8,1997-06-17,45.29,oid_100030,17.2102
8,1997-07-03,36.76,oid_100031,6.249199999999999
8,1997-11-16,2.99,oid_100032,0.8671000000000001
8,1997-11-16,50.43,oid_100033,14.1204
8,1997-12-25,13.99,oid_100034,4.8965000000000005
8,1998-03-29,24.46,oid_100035,17.122
9,1997-01-01,23.54,oid_100036,12.947
9,1997-05-13,30.33,oid_100037,6.369299999999999
9,1998-06-08,41.98,oid_100038,21.4098
10,1997-01-21,39.31,oid_100039,13.3654
11,1997-01-01,13.49,oid_100040,2.8329000000000004
11,1997-01-28,19.3,oid_100041,9.843
11,1997-03-17,12.77,oid_100042,4.0864
11,1998-02-20,12.99,oid_100043,5.196000000000001
12,1997-01-01,57.06,oid_100044,25.106400000000004
13,1997-01-01,72.94,oid_100045,42.30519999999999
14,1997-01-01,29.92,oid_100046,11.3696
15,1997-01-01,52.87,oid_100047,15.3323
16,1997-01-01,9.77,oid_100048,3.7126
16,1997-07-13,31.6,oid_100049,13.272
16,1997-07-26,28.51,oid_100050,6.272200000000001
16,1997-09-10,9.99,oid_100051,1.5984
17,1997-01-01,73.22,oid_100052,38.0744
18,1997-01-04,14.96,oid_100053,6.732
19,1997-01-01,163.35,oid_100054,45.738
19,1997-06-10,11.77,oid_100055,3.0602
